AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.301;0.138;0;0;3183
5.044;2.138;0;0;3167
0.322;0.146;0;0;3167
0.192;0.09;0;0;3199
4.856;1.978;0;0;3121
0.116;0.068;0;0;3167
0.214;0.098;0;0;3339
5.957;2.06;0;0;3167
5.51;2.056;0;0;3167
5.372;2.166;0;0;3386
6.246;2.124;0;0;3339
5.544;1.798;0;0;3183
0.205;0.092;0;0;3167
0.144;0.09;0;0;3355
7.295;2.268;0;0;4041
0.81;0.47;0;0;3355
5.938;2.184;0;0;4072
5.38;2.218;0;0;3199
1.58;1.29;0;0;3011
0.834;0.498;0;0;3011
0.177;0.126;0;0;3074
0.356;0.236;0;0;4774
0.202;0.098;0;0;3386
0.428;0.172;0;0;4525
0.5;0.298;0;0;4088
0.859;0.5;0;0;3261
0.469;0.208;0;0;3167
1.22;0.598;0;0;4072
0.863;0.506;0;0;4493
0.82;0.344;0;0;4493
0.518;0.28;0;0;4103
0.731;0.424;0;0;3214
0.857;0.428;0;0;4088
0.854;0.492;0;0;4103
0.804;0.472;0;0;3199
0.244;0.116;0;0;3199
0.526;0.234;0;0;3167
0.278;0.13;0;0;3370
0.336;0.148;0;0;3167
2.916;2.308;0;0;3011
1.006;0.572;0;0;3230
1.006;0.572;0;0;3167
0.636;0.268;0;0;3167
0.579;0.282;0;0;4462
1.697;0.696;0;0;4415
0.523;0.302;0;0;3386
0.502;0.21;0;0;4088
0.84;0.476;0;0;3417
0.186;0.1;0;0;4431
0.653;0.346;0;0;4478
0.486;0.286;0;0;3183
4.725;1.96;0;0;3199
5.278;2.19;0;0;4088
0.899;0.532;0;0;5913
0.582;0.288;0;0;3183
0.854;0.468;0;0;4088
0.649;0.396;0;0;4384
0.543;0.296;0;0;3199
0.267;0.122;0;0;4478
0.847;0.35;0;0;3370
0.153;0.1;0;0;3261
4.692;2.012;0;0;3183
1.498;1.108;0;0;3011
5.224;2.168;0;0;3386
0.472;0.2;0;0;3386
0.302;0.136;0;0;3199
0.678;0.288;0;0;4103
0.844;0.504;0;0;3183
0.484;0.2;0;0;4462
0.558;0.314;0;0;4072
0.753;0.438;0;0;4103
0.908;0.496;0;0;3214
0.469;0.194;0;0;4447
0.499;0.284;0;0;4088
0.825;0.474;0;0;3230
0.401;0.168;0;0;3214
1.767;1.962;0;0;3011
5.202;2.24;0;0;3370
0.564;0.236;0;0;4462
0.665;0.322;0;0;4525
0.521;0.282;0;0;4088
0.687;0.4;0;0;3386
5.251;2.216;0;0;4072
0.344;0.212;0;0;4805
0.202;0.1;0;0;3183
0.359;0.15;0;0;3386
0.202;0.104;0;0;3199
0.13;0.078;0;0;4509
0.413;0.252;0;0;3386
0.824;0.37;0;0;4509
0.458;0.274;0;0;3245
5.789;2.22;0;0;3214
0.141;0.084;0;0;4462
0.602;0.308;0;0;3230
0.143;0.096;0;0;4478
0.54;0.33;0;0;4415
0.546;0.312;0;0;4088
0.823;0.476;0;0;4462
0.491;0.29;0;0;4493
0.807;0.312;0;0;3417
5.273;2.156;0;0;4103
0.79;0.468;0;0;3401
0.377;0.158;0;0;4072
0.632;0.362;0;0;3370
0.311;0.134;0;0;3199
2.583;1.918;0;0;3011
0.497;0.268;0;0;3199
0.201;0.098;0;0;4478
0.416;0.232;0;0;3386
0.416;0.232;0;0;3214
0.652;0.316;0;0;3214
0.842;0.476;0;0;4509
0.537;0.29;0;0;3214
0.361;0.152;0;0;3386
5.928;2.458;0;0;3417
0.295;0.134;0;0;3214
0.206;0.11;0;0;3183
0.776;0.394;0;0;3355
0.187;0.09;0;0;4103
0.668;0.38;0;0;3308
0.3;0.138;0;0;3214
4.702;1.954;0;0;3230
0.145;0.092;0;0;3245
0.871;0.464;0;0;3214
0.508;0.212;0;0;3199
0.643;0.288;0;0;3230
0.135;0.086;0;0;4103
0.957;0.492;0;0;3230
0.467;0.198;0;0;4088
0.79;0.466;0;0;3214
0.541;0.236;0;0;3214
4.669;2;0;0;3230
1.237;0.908;0;0;3011
5.212;2.164;0;0;3167
0.838;0.364;0;0;3370
0.377;0.168;0;0;4103
0.724;0.416;0;0;4509
0.568;0.33;0;0;4540
0.212;0.142;0;0;3245
0.255;0.11;0;0;4415
0.746;0.33;0;0;3386
0.132;0.088;0;0;3230
0.258;0.114;0;0;3386
0.439;0.192;0;0;4478
0.379;0.23;0;0;4525
0.271;0.142;0;0;3261
0.781;0.33;0;0;3199
0.349;0.15;0;0;3199
0.139;0.082;0;0;3214
0.783;0.372;0;0;4088
0.923;0.492;0;0;3230
0.361;0.156;0;0;3183
0.396;0.164;0;0;3417
0.443;0.194;0;0;3121
1.566;1.346;0;0;3027
5.177;2.158;0;0;3183
0.219;0.104;0;0;4478
0.716;0.33;0;0;4509
0.458;0.266;0;0;3199
0.21;0.094;0;0;3230
0.3;0.136;0;0;4478
1.759;0.716;0;0;3386
0.352;0.144;0;0;4478
0.535;0.31;0;0;3401
0.51;0.222;0;0;4509
0.386;0.23;0;0;3214
1.919;1.55;0;0;3011
5.007;2.166;0;0;3401
0.309;0.14;0;0;3230
0.509;0.206;0;0;3183
0.144;0.086;0;0;3230
0.543;0.23;0;0;3386
0.325;0.144;0;0;3370
0.22;0.11;0;0;3230
0.137;0.076;0;0;4415
0.537;0.296;0;0;4088
0.802;0.47;0;0;3214
0.545;0.238;0;0;3386
4.751;2.016;0;0;3214
0.335;0.136;0;0;4088
0.951;0.514;0;0;3214
0.226;0.12;0;0;3199
0.658;0.304;0;0;4119
0.783;0.464;0;0;4415
0.964;0.42;0;0;4400
0.546;0.312;0;0;4103
0.812;0.47;0;0;3386
0.29;0.132;0;0;3183
0.75;0.384;0;0;3230
5.154;2.136;0;0;4447
0.526;0.31;0;0;3417
0.183;0.094;0;0;3230
0.649;0.288;0;0;3401
0.285;0.13;0;0;3183
4.681;1.968;0;0;3261
5.782;2.086;0;0;4103
0.781;0.448;0;0;3277
0.859;0.428;0;0;4447
0.758;0.372;0;0;3183
0.457;0.198;0;0;4119
5.264;2.206;0;0;3199
0.945;0.498;0;0;3214
0.175;0.12;0;0;3386
0.129;0.086;0;0;4088
0.88;0.478;0;0;4384
5.206;2.158;0;0;4088
0.512;0.208;0;0;3183
0.253;0.122;0;0;4088
0.361;0.238;0;0;4743
0.138;0.084;0;0;3386
0.628;0.314;0;0;3230
0.201;0.096;0;0;4057
0.904;0.54;0;0;4415
0.904;0.54;0;0;3214
0.444;0.268;0;0;3214
0.697;0.312;0;0;4462
0.505;0.294;0;0;4525
0.491;0.266;0;0;3386
0.299;0.12;0;0;3199
0.327;0.142;0;0;3230
0.8;0.408;0;0;4447
0.528;0.304;0;0;4088
0.845;0.504;0;0;4072
0.65;0.386;0;0;4088
0.345;0.22;0;0;5819
0.536;0.318;0;0;3339
0.176;0.092;0;0;4493
0.574;0.328;0;0;4415
0.574;0.334;0;0;4462
0.52;0.292;0;0;4509
0.557;0.302;0;0;4088
0.557;0.482;0;0;4088
0.823;0.482;0;0;3245
0.428;0.182;0;0;4103
0.714;0.416;0;0;3386
0.365;0.158;0;0;4447
0.573;0.336;0;0;3230
7.764;2.458;0;0;4478
0.59;0.356;0;0;3417
0.337;0.144;0;0;3136
0.701;0.352;0;0;3386
0.393;0.162;0;0;3386
0.144;0.09;0;0;3386
0.19;0.092;0;0;3245
0.163;0.08;0;0;4478
0.581;0.314;0;0;3183
0.202;0.112;0;0;4525
0.574;0.302;0;0;3245
0.345;0.148;0;0;3230
0.194;0.108;0;0;3386
0.366;0.152;0;0;3386
0.505;0.208;0;0;3230
4.872;2.08;0;0;3214
0.148;0.096;0;0;4072
0.838;0.478;0;0;3230
0.162;0.104;0;0;4431
0.575;0.326;0;0;4462
0.532;0.31;0;0;4088
0.764;0.446;0;0;3199
0.178;0.106;0;0;3167
0.583;0.266;0;0;4072
5.198;2.18;0;0;3199
0.17;0.096;0;0;3230
0.142;0.086;0;0;4447
